Top 100 Dimension 4 Negative 	
Dim.4	TWEETS
-0.462	4677.            I will be campaigning in Indiana all day. Things are looking great, and the support of Bobby Knight has been so amazing. Today will be fun!
-0.456	263.                All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!
-0.447	12156.         @NYMag   Wow, numbers are really looking bad at  New York Magazine. While very boring, it is also very biased. Too bad, was once great!
-0.445	2425.            For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!
-0.44	14468.         The Time Magazine list of the 100 Most Influential People is a joke and stunt of a magazine that will, like Newsweek,soon be dead. Bad list!
-0.431	1478.            I will be at the @USGA #USWomensOpen in Bedminster, NJ tomorrow. Big crowds expected &amp; the women are playing great-should be very exciting!
-0.427	6147.            Thank you, so many people have given me credit for winning the debate last night. All polls agree. It was fun and interesting!
-0.423	716.                The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!
-0.421	6266.            Our country is facing a major threat from radical Islamic terrorism. We better get very smart, and very tough, FAST, before it is too late!
-0.42	1329.            West Virginia was incredible last night. Crowds and enthusiasm were beyond, GDP at 3%, wow!Dem Governor became a Republican last night.
-0.418	3833.            Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.
-0.415	9830.            The NFL image is really tarnished! Now, if the sponsors start leaving and the ratings go down, the NFL will be in big trouble. Boring games!
-0.414	447.                At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The American public is fed up with the disrespect the NFL is paying to our Country, our Flag and our National Anthem. Weak and out of control!
-0.413	201.                Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!
-0.409	12570.         Spitzer and Weiner lost, lightweight Eric Schneiderman will be next - he will be challenged in the PRIMARY. He has done a really poor job!
