Top 100 Dimension 2 Negative 	
Dim.2	TWEETS
-0.648	8807.            Congratulations to the 7 @TrumpCollection properties who made @USNewsTravel's Best Hotels List: http://t.co/1GgrePGJLM
-0.612	1936.            Join me in congratulating @NASA's @AstroPeggy by using the hashtag #CongratsPeggy! Earlier today:… https://t.co/AUdJgxXiT4
-0.611	9621.            Congratulations to @TrumpDoral's #BlueMonster course for being named one of the 10 Toughest courses on Tour This Year http://t.co/IanKmlfj8P
-0.6	14871.         My @gretawire interview re: the dismal job report, getting ripped off by South Korea, 2016 election &amp;  #WWEHOF http://t.co/klReS5C1Ox
-0.588	10966.         Today in history WrestleMania 23: I shave @VinceMcMahon's hair--highest rated show in WWE history  @WrestleFact  http://t.co/7su88r1Mr0
-0.585	12562.         Via @AP: “Donald, Ivanka Trump say DC’s Old Post Office Pavilion will be 1 of country’s finest hotels” http://t.co/QQ0uvlPVXN
-0.582	9228.            Via @washingtonpost by @OConnellPostbiz:“Bidding to stay at Trump’s hotel for '17 inauguration?Pick the next POTUS." http://t.co/Z1V76KGXQI
-0.582	17841.         Celebrate 2013 @TrumpSoHo with downtown's nicest #NYE party. Get your tickets now: http://t.co/UgBCAMck
-0.576	13497.         Via CBSWashDC: “114-Year-Old DC Building a Step Closer to Becoming Trump’s Latest Hotel” http://t.co/7uX5iAR6so
-0.568	3774.            #ICYMI: John Podesta’s Brother Pocketed $180,000 from Putin’s Uranium Company: https://t.co/d0LfyiBlvX https://t.co/I5fF3didZs
-0.566	8991.            Via @TheYBF: “@msvivicafox Attends A Private Screening + Donald Trump DONATES $25K To @peachespulliam’S Kamp Kizzy”http://t.co/KC3CQ6QVpq
-0.562	9346.            Congratulations to @TrumpDoral for being named one of @LINKSMagazine's Great Destinations: http://t.co/2amXtgXTwQ
-0.56	12373.         Rated Toronto’s #1 hotel, the 65-story 5 Star @TrumpTO is located in the heart of the city’s finest attractions http://t.co/LU6CDh7VTD
-0.556	18268.         RT @ReutersPolitics: Trump to give $5 million to charity if Obama releases records http://t.co/xCQbR1j2
-0.549	20990.         China's economy is now projected to overtake the US as the world's largest economy by 2027 http://t.co/c5sI2qTe   #TimeToGetTough
-0.549	14509.         Via @Law360: “Trump’s $200M Old Post Office Project Gets Early Approval” http://t.co/W4XbbVFbWe
-0.546	3321.            .@DRUDGE_REPORT's First Presidential Debate Poll:Trump: 80%Clinton: 20%Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn
-0.541	1591.            Today, the House votes on two crucial bills:☑️#NoSanctuaryForCriminalsAct ☑️#KatesLaw ☑️Pass these bills &amp; lets… https://t.co/4N2c0oxMve
-0.534	7812.            Via @fitsnews:“Donald Trump Surges In New Hampshire Poll: MOGUL, REALITY STAR EMERGES AS GRANITE STATE’S ‘ANTI-BUSH’ http://t.co/TqFBtG9PHc
