Top 100 Dimension 5 Negative 	
Dim.5	TWEETS
-0.58	20874.         Who handed Iraq over to Iran yesterday? @BarackObama. We have gotten nothing from the Iraqis-- we should have them pay us back with oil.
-0.576	7847.            Why did @DanaPerino beg me for a tweet (endorsement) when her book was launched?
-0.557	10594.         Bowe Bergdahl walked off the base after he was told not to. Solders died looking for him. U.S. should NEVER have made the deal! PUNISHMENT?
-0.548	13605.         In 2011 I said that Mubarak never should have been ousted because whoever replaces him will be worse.  Obama made a mistake.
-0.535	9022.            This show was taped just before the terrible Bill Cosby revelations came to light.She still should have asked him for money-goes to charity.
-0.52	13182.         I am getting worried about Chris @hardball_chris Matthews.  Is he drinking again?
-0.515	2265.            Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?
-0.503	15470.         Next she says she's being set up by Omarosa to fail....is somebody confused?
-0.493	15471.         What?!  LaToya is saying Omarosa is one of the nicest people she's met?
-0.492	21153.         @BarackObama sold guns to the Mexican drug cartels.  They were used in the murders of Americans . Where is the outrage?
-0.491	13658.         @spsmith78   So how is he allowed to get away with the crap he says?
-0.49	7172.            .@club4growth should release the letter they sent me asking for $1,000,000. When I said no, they came out against me. A scam operation?
-0.484	4486.            Why do the networks continue to put dopey @BillKristol on panels when he has called every single shot about me wrong for 2 yrs?
-0.48	11902.         I wonder what the late, great Vince Lombardi would say about the Rutgers football player who says he is being bullied because coach yelled?
-0.48	18740.         Obama lied to the public about the Al Qaeda attack on our consulate in Libya. He should be held accountable.
-0.478	14633.         @CoachClintSwan  Tell me, what were they doing in the Park, playing checkers?
-0.478	20127.         Many many people are thanking me for what I said about @autism & vaccinations. Something must be done immediately.
-0.477	544.                President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.
-0.475	5443.            I will beat Hillary easily, but Lindsey Graham says I won't, and yet he got zero against me- no cred! Why does FOX put him on?
-0.474	1961.            Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H.
-0.473	20704.         Our Marines are sent to kill the Taliban not coddle them. USMC should be praised not investigated. Semper Fi !
-0.469	11638.         .@JohnKerry claims he has "never stopped working” f/Pastor Abedini’s release through “back channels."  Where are the results?
-0.467	3263.            Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!
-0.467	12515.         Only 15 days until ObamaCare is implemented. Congress must waive the monstrosity for regular Americans. Why should they be punished?
-0.467	493.                Shoplifting is a very big deal in China, as it should be (5-10 years in jail), but not to father LaVar. Should have gotten his son out during my next trip to China instead. China told them why they were released. Very ungrateful!
-0.465	3318.            I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?
-0.465	19125.         China must be worried that @MittRomney will win this November. They have never had such a pushover like @BarackObama.
-0.465	4525.            Michael Barbaro, the author of the now discredited @nytimes hit piece on me with women, has in past tweeted badly about me. He should resign
-0.464	6420.            @KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser!  Fox should dump Rove.
-0.46	7803.            Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers
-0.46	17802.         @dxerebl  They must actually like me!
-0.458	18531.         Derek Jeter had a great career until 3 days ago when he sold his apartment at Trump World Tower- I told him not to sell- karma?
-0.458	6635.            .@seanhannity should have corrected Jeb Bush when he said that I "ran for president twice." Never ran, merely considered running!
-0.457	2436.            What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....
-0.455	12145.         @ukn96 They get fired.
-0.454	9226.            If ObamaCare should not be repealed then why has Obama &amp; Congress exempted their staffs?
-0.453	3406.            Just arrived in Texas - have been informed two @fortworthpd officers have been shot. My thoughts and prayers are with them.
-0.453	5343.            Mitt Romney,who totally blew an election that should have been won and whose tax returns made him look like a fool, is now playing tough guy
-0.452	2960.            Why didn't Hillary Clinton announce that she was inappropriately given the debate questions - she secretly used them! Crooked Hillary.
