Top 100 Dimension 1 Negative 	
Dim.1	TWEETS
-0.715	13618.         @DurangoRick   Thank you:-)
-0.715	17427.         @NathalieS_29  Thank you
-0.715	17543.         @Kevinsherwin Thank you
-0.715	18603.         @usa67us  Thank you
-0.715	18692.         @escobedoantonio Thank you
-0.715	18793.         @ForexBoxusd @LibertyU  Thank you
-0.711	8301.            @Ex369PPD  Thank you!
-0.711	10893.         @PriscoCBS  Thank you!
-0.711	11942.         @Judithdbailey   Thank you!
-0.711	12229.         @AdityaTaday   Thank you!
-0.711	12388.         @mikemarchlik  Thank you!
-0.711	13028.         @MatthewSmales1   Thank you!
-0.711	13088.         @sjohnstonefilm   Thank you!
-0.711	13129.         @green_i4u  Thank you!
-0.711	13153.         @noall   Thank you!
-0.711	13172.         @JGrant_Realtor  Thank you!
-0.711	13457.         @underworldfilms Thank you!
-0.711	13548.         @MsLisaALevy  Thank you!
-0.711	13551.         @PaulCrouch22 Thank you!
-0.711	13594.         @sirtyro   Thank you!
-0.711	13632.         @DurangoRick Thank you!
-0.711	13699.         @pearlharry  Thank you!
-0.711	13725.         @lorenzolamas Thank you!
-0.711	13779.         @tubby511 Thank you!
-0.711	13864.         @JBradleyDesign1 @CNNMoney @jtotoole Thank you!
-0.711	13904.         @glenda_goff Thank you!
-0.711	13942.         @theronnivp Thank you!
-0.711	13981.         @thejbrain Thank you!
-0.711	14419.         @FakeBriWilliams   Thank you!
-0.711	14832.         @AlxG21  Thank you!
-0.711	15095.         @SamRyzen Thank you!
-0.711	15232.         @MarcPhelan Thank you!
-0.711	15298.         @Cleggermeister  Thank you!
-0.711	16552.         @Jim_W_Magee Thank you!
-0.711	17038.         @BradyMagic @EricTrump Thank you!
-0.711	17140.         @V3CEO  Thank you!
-0.711	17160.         @richardkle  Thank you!
-0.711	17743.         @Corene7  Thank you!
-0.711	18016.         @ojmart  Thank you!
-0.705	3427.            Thank you @ATFD17! #ImWithYouVideo: https://t.co/z9Yg83VTF4
-0.697	12924.         @J_TJOHNSON   Thanks
-0.697	13071.         @showtimeshelby   Thanks
-0.697	16071.         @RuRu_89 thanks
-0.697	16072.         @rosscooker thanks
-0.697	17079.         @shineb4 @jayleno @billmaher Thanks
-0.697	17129.         @HShoyeb @Lord_Sugar @piersmorgan  Thanks
-0.697	17177.         @GrantGill  Thanks
-0.697	17541.         @rodsandguitars @nbc  Thanks
-0.697	17550.         @achieverdan Thanks
-0.697	17551.         @damonpostal  Thanks
-0.697	17673.         @RetroJohnny  Thanks
-0.697	17676.         @utxgent  Thanks
-0.697	17988.         @jtylerdowling   Thanks
-0.697	18454.         @marileenelson Thanks
-0.692	11066.         @MauriceConcha  Thanks!
-0.692	12176.         @itscharlotteann Thanks!
-0.692	12319.         @JackMartin32  Thanks!
-0.692	12387.         @BrennenChase   Thanks!
-0.692	12563.         @ewilli1204  Thanks!
-0.692	12732.         @tkeller316  Thanks!
-0.692	12780.         @Jungledad  Thanks!
-0.692	12867.         @Marilynn555 Thanks!
-0.692	12875.         @TonyCatering @TrumpTowerNY  Thanks!
-0.692	12879.         @HarryCraig96 @TrumpTowerNY  Thanks!
-0.692	12882.         @BrentLudington Thanks!
-0.692	12926.         @cloverc8 Thanks!
-0.692	12929.         @merryman34 Thanks!
-0.692	12930.         @samtrisi Thanks!
-0.692	12977.         @realDonaldTrump  Thanks!
-0.692	12978.         @Timc1021 Thanks!
-0.692	12979.         @garrendj   Thanks!
